trade_id,timestamp,price,quantity,side,trader_id,manager_id,exchange,order_type,fee_rate,settlement_status,venue_code,session_id,latency_ms,region_code,api_version,ip_hash,raw_msg_id
BTCUSDT_00000976,2026-01-01 00:05:14.549189,87777.646354,0.270592,SELL,wallet_BTC0164,,BINANCE,LIMIT,0.001307,SETTLED,VC323,2db4e24537fd,230,US-WEST,v2.3,5a13e0be,MSG832039445
BTCUSDT_00002555,2026-01-01 01:15:43.841068,88008.297759,0.327624,BUY,wallet_BTC0090,,BINANCE,MARKET,0.000981,SETTLED,VC274,5f62fb201d97,158,APAC-SOUTH,v2.2,ea3356e0,MSG935777017
BTCUSDT_00001411,2026-01-01 01:43:16.805664,87882.009706,0.076488,SELL,wallet_BTC0072,,BINANCE,MARKET,0.001043,SETTLED,VC511,dee75e47dfb6,465,EU-CENTRAL,v2.3,d54dcc69,MSG803002024
BTCUSDT_00000493,2026-01-01 02:21:59.744782,87982.154021,0.526612,SELL,wallet_BTC0071,,BINANCE,MARKET,0.000536,SETTLED,VC854,c94557a4657d,279,US-WEST,v2.2,546832d5,MSG244407832
BTCUSDT_00003198,2026-01-01 05:10:36.343811,87704.955831,0.767246,BUY,wallet_BTC0053,,BINANCE,LIMIT,0.000588,SETTLED,VC645,a4a9f7f8c970,106,APAC-SOUTH,v2.3,01491087,MSG776388199
BTCUSDT_00000033,2026-01-01 05:23:08.811431,87670.738583,0.656542,BUY,wallet_BTC0010,,BINANCE,MARKET,0.000972,SETTLED,VC244,79c77da28bd3,92,APAC-SOUTH,v2.3,efaaaaa3,MSG503023229
BTCUSDT_00002863,2026-01-01 05:35:05.876302,87723.060287,0.157163,SELL,wallet_BTC0003,,BINANCE,MARKET,0.000562,SETTLED,VC983,86e065a5a2b7,297,APAC-NORTH,v3.0,88256a5b,MSG924063228
BTCUSDT_00000488,2026-01-01 05:35:38.797631,87725.658986,0.620046,SELL,wallet_BTC0104,,BINANCE,MARKET,0.001352,SETTLED,VC856,8a40f596d705,28,APAC-NORTH,v2.3,887eacfe,MSG651610587
BTCUSDT_00000501,2026-01-01 08:38:36.871402,87742.951831,0.541293,BUY,wallet_BTC0136,,BINANCE,MARKET,0.000579,SETTLED,VC831,80baec415094,42,APAC-SOUTH,v2.2,6d62dce2,MSG300323563
BTCUSDT_00003954,2026-01-01 08:41:41.441232,87736.196513,1.355215,SELL,wallet_BTC0197,,BINANCE,MARKET,0.000848,SETTLED,VC460,4028fcb214d1,135,EU-CENTRAL,v2.3,dfee2e37,MSG148835080
BTCUSDT_00004727,2026-01-01 09:20:59.786936,87916.278026,0.157301,SELL,wallet_BTC0171,,BINANCE,MARKET,0.001044,SETTLED,VC903,bd5973956643,354,APAC-SOUTH,v2.2,46f85ce1,MSG224946552
BTCUSDT_00002999,2026-01-01 10:52:54.596246,87841.124603,0.200036,BUY,wallet_BTC0153,,BINANCE,STOP_LIMIT,0.000672,SETTLED,VC261,2a812cbe7b38,406,US-EAST,v2.3,4ec5e0e5,MSG349414112
BTCUSDT_00000617,2026-01-01 11:10:00.407921,87900.326894,0.1246,BUY,wallet_BTC0139,,BINANCE,MARKET,0.0013,SETTLED,VC122,a457e763f543,230,EU-CENTRAL,v2.3,5fd01a98,MSG596785157
BTCUSDT_00003090,2026-01-01 11:46:23.585882,87941.164358,1.435544,BUY,wallet_BTC0036,,BINANCE,LIMIT,0.000676,SETTLED,VC965,156c9e1d457a,201,APAC-SOUTH,v2.2,1ecafef1,MSG867719930
BTCUSDT_00003900,2026-01-01 13:05:22.020982,87933.981847,0.100166,SELL,wallet_BTC0095,,BINANCE,LIMIT,0.001061,SETTLED,VC666,e4817188fad0,257,APAC-NORTH,v2.3,899c3230,MSG319317740
BTCUSDT_00004630,2026-01-01 13:53:40.903459,87910.054992,0.817457,BUY,wallet_BTC0065,,BINANCE,MARKET,0.001254,SETTLED,VC683,3a9520665762,231,US-WEST,v3.0,5823751b,MSG984155344
BTCUSDT_00000295,2026-01-01 14:00:45.858513,87872.435313,0.54807,SELL,wallet_BTC0034,,BINANCE,MARKET,0.001062,SETTLED,VC142,31c815ee0068,468,EU-CENTRAL,v3.0,c9cc21a3,MSG542097449
BTCUSDT_00000279,2026-01-01 14:10:47.618145,87916.829036,0.068762,SELL,wallet_BTC0059,,BINANCE,LIMIT,0.000894,SETTLED,VC538,bde6fe0bf28a,441,US-WEST,v2.3,972cca10,MSG837485433
BTCUSDT_00000231,2026-01-01 14:33:43.368478,87844.72282,3.891552,BUY,wallet_BTC0002,,BINANCE,STOP_LIMIT,0.00145,SETTLED,VC798,4682d1dc558e,30,EU-CENTRAL,v2.2,615ce9b1,MSG884779772
BTCUSDT_00003158,2026-01-01 15:02:16.708837,87954.596509,0.416607,BUY,wallet_BTC0046,,BINANCE,MARKET,0.001035,SETTLED,VC731,51f2fcc4716e,102,APAC-NORTH,v2.2,2db108ac,MSG668815808
BTCUSDT_00003195,2026-01-01 15:10:35.444563,87926.010488,0.113453,BUY,wallet_BTC0149,,BINANCE,STOP_LIMIT,0.00084,SETTLED,VC508,7f663340cce6,4,EU-CENTRAL,v2.3,8087d233,MSG613845201
BTCUSDT_00000628,2026-01-01 16:03:16.701348,87988.657463,0.298239,BUY,wallet_BTC0126,,BINANCE,LIMIT,0.00107,SETTLED,VC259,32167474ef3c,162,US-EAST,v2.3,50025e00,MSG399848879
BTCUSDT_00003338,2026-01-01 16:05:37.424391,87954.021051,0.610407,BUY,wallet_BTC0132,,BINANCE,MARKET,0.000565,SETTLED,VC457,38730c01deb1,196,US-WEST,v2.2,c89c8277,MSG794646161
BTCUSDT_00001443,2026-01-01 16:26:00.011898,87929.94382,0.511776,BUY,wallet_BTC0193,,BINANCE,MARKET,0.000863,SETTLED,VC813,1c6e8d573b75,313,US-WEST,v2.2,b5c9f142,MSG608931937
BTCUSDT_00001313,2026-01-01 16:48:48.965404,87978.410008,0.129771,SELL,wallet_BTC0003,,BINANCE,MARKET,0.00149,SETTLED,VC805,741457ebf1c3,127,APAC-NORTH,v2.2,798c3dad,MSG261176040
BTCUSDT_00003295,2026-01-01 17:13:37.228634,88071.826615,0.086815,BUY,wallet_BTC0065,,BINANCE,MARKET,0.001013,SETTLED,VC806,05bd296543ea,105,APAC-NORTH,v3.0,98403c95,MSG652612577
BTCUSDT_00002283,2026-01-01 17:33:19.997371,88441.636619,0.525734,BUY,wallet_BTC0128,,BINANCE,LIMIT,0.00137,SETTLED,VC596,a7c264422bf3,284,US-EAST,v2.3,fee59202,MSG596063694
BTCUSDT_00002894,2026-01-01 18:17:19.834694,88142.623673,0.212939,BUY,wallet_BTC0155,,BINANCE,MARKET,0.000878,SETTLED,VC304,795ec61d72b7,257,APAC-SOUTH,v2.2,e6702975,MSG197193607
BTCUSDT_00000549,2026-01-01 19:37:37.829315,88193.29112,0.093132,BUY,wallet_BTC0046,,BINANCE,MARKET,0.000938,SETTLED,VC324,d03f9281a6c9,260,APAC-SOUTH,v2.3,66b0e949,MSG843313356
BTCUSDT_00001190,2026-01-01 21:13:26.870816,88424.601142,0.114345,BUY,wallet_BTC0169,,BINANCE,MARKET,0.001455,SETTLED,VC123,e08a799ca4d4,321,US-EAST,v2.2,a6029047,MSG503944053
BTCUSDT_00003506,2026-01-01 21:41:15.352042,88376.72158,1.744405,BUY,wallet_BTC0002,,BINANCE,LIMIT,0.000925,SETTLED,VC312,dba3a7fc8dca,83,US-EAST,v3.0,2e72409f,MSG242910929
BTCUSDT_00002791,2026-01-01 22:00:48.263661,88387.812379,1.138543,SELL,wallet_BTC0012,,BINANCE,MARKET,0.000522,SETTLED,VC302,532d70e5affb,341,US-EAST,v3.0,ff071a2b,MSG775114710
BTCUSDT_00000748,2026-01-01 23:00:38.985211,88699.17479,0.405156,BUY,wallet_BTC0159,,BINANCE,STOP_LIMIT,0.000953,SETTLED,VC428,e6e75d57d0ca,133,APAC-NORTH,v2.3,f2b15e87,MSG766640302
BTCUSDT_00002425,2026-01-01 23:01:57.289753,88742.704329,0.051511,BUY,wallet_BTC0030,,BINANCE,LIMIT,0.000935,SETTLED,VC540,68988ddd99f4,239,APAC-NORTH,v2.1,7a2dcc76,MSG664118349
BTCUSDT_00002814,2026-01-01 23:04:54.764357,88502.523528,0.178132,SELL,wallet_BTC0020,,BINANCE,MARKET,0.001002,SETTLED,VC470,f5c95e853960,74,US-EAST,v2.3,2b50412d,MSG692396050
BTCUSDT_00003732,2026-01-01 23:36:30.134419,88810.316949,0.103819,BUY,wallet_BTC0116,,BINANCE,LIMIT,0.000676,SETTLED,VC592,25af683f226c,164,APAC-NORTH,v3.0,a06fbe4f,MSG286569774
BTCUSDT_00002656,2026-01-02 00:21:55.432833,88636.693531,0.50108,BUY,wallet_BTC0047,,BINANCE,MARKET,0.001407,SETTLED,VC377,75690d5b512e,63,US-WEST,v2.3,c58c6f86,MSG369816755
BTCUSDT_00001511,2026-01-02 00:40:29.747474,88694.734584,0.345669,SELL,wallet_BTC0190,,BINANCE,MARKET,0.000915,SETTLED,VC798,d1f151837025,264,US-EAST,v2.3,4a2fcafb,MSG278197334
BTCUSDT_00003625,2026-01-02 01:16:40.504289,88745.907553,0.101665,SELL,wallet_BTC0015,,BINANCE,LIMIT,0.000545,SETTLED,VC723,5b0b835059c9,26,EU-CENTRAL,v2.3,ca63ac67,MSG794198437
BTCUSDT_00003736,2026-01-02 02:50:48.277049,88586.834873,0.120332,BUY,wallet_BTC0052,,BINANCE,MARKET,0.000841,SETTLED,VC610,e66bd87d8e7e,201,APAC-SOUTH,v2.3,b3a06104,MSG913169427
BTCUSDT_00002563,2026-01-02 04:01:47.592580,88977.372142,0.248974,SELL,wallet_BTC0185,,BINANCE,LIMIT,0.001348,SETTLED,VC571,18965c2287f8,213,APAC-NORTH,v2.3,2ecad335,MSG957588414
BTCUSDT_00001883,2026-01-02 07:18:11.368107,88946.664813,0.117053,SELL,wallet_BTC0169,,BINANCE,MARKET,0.000551,SETTLED,VC689,b4248ca8bfbb,89,EU-CENTRAL,v2.2,4dce8308,MSG462749096
