trade_id,timestamp,price,quantity,side,trader_id,manager_id,exchange,order_type,fee_rate,settlement_status,venue_code,session_id,latency_ms,region_code,api_version,ip_hash,raw_msg_id
DOGEUSDT_00000872,2026-01-01 01:22:46.194930,0.118232,0.292007,SELL,wallet_DOG0033,,BINANCE,MARKET,0.000915,SETTLED,VC455,c4fdf8e5f34d,76,US-EAST,v2.3,e446e0d0,MSG131182255
DOGEUSDT_00000340,2026-01-01 08:59:52.164216,0.120343,1.129472,SELL,wallet_DOG0070,,BINANCE,MARKET,0.001187,SETTLED,VC907,80db7559af39,91,APAC-SOUTH,v3.0,a6c23b7e,MSG105773045
DOGEUSDT_00001852,2026-01-01 10:01:05.641510,0.120427,0.414931,SELL,wallet_DOG0052,,BINANCE,MARKET,0.001295,SETTLED,VC567,48c26df2c1fd,435,EU-CENTRAL,v2.3,fd482395,MSG847950532
DOGEUSDT_00001369,2026-01-01 15:44:56.951348,0.123284,0.156066,BUY,wallet_DOG0047,,BINANCE,MARKET,0.000886,SETTLED,VC362,5761eb31e18b,127,EU-CENTRAL,v2.2,981ccec5,MSG834005624
DOGEUSDT_00001427,2026-01-01 15:47:05.002493,0.126713,0.178923,BUY,wallet_DOG0080,,BINANCE,MARKET,0.001134,SETTLED,VC137,f0c91c15f122,171,APAC-SOUTH,v2.2,88e86f4b,MSG147516709
DOGEUSDT_00001042,2026-01-01 15:49:08.777789,0.124743,0.159679,SELL,wallet_DOG0041,,BINANCE,LIMIT,0.001165,SETTLED,VC228,8bf3bbd31d24,202,US-WEST,v2.2,3ebe58e4,MSG138212728
DOGEUSDT_00000613,2026-01-01 15:56:53.926701,0.124503,0.146754,SELL,wallet_DOG0022,,BINANCE,MARKET,0.001079,SETTLED,VC751,e88953590594,73,APAC-NORTH,v2.1,95caf7d3,MSG862258951
DOGEUSDT_00001355,2026-01-01 16:05:56.080310,0.12475,0.088476,SELL,wallet_DOG0027,,BINANCE,MARKET,0.000837,SETTLED,VC260,77b3be084d13,294,US-EAST,v2.3,b1d64ed0,MSG409799206
DOGEUSDT_00001804,2026-01-01 16:08:21.140570,0.124976,0.869046,SELL,wallet_DOG0011,,BINANCE,MARKET,0.000973,SETTLED,VC927,04a6c9980b47,52,EU-CENTRAL,v2.2,f83b18d5,MSG938170348
DOGEUSDT_00000079,2026-01-01 16:33:20.655193,0.124772,0.077414,BUY,wallet_DOG0060,,BINANCE,MARKET,0.001498,SETTLED,VC210,1571e659b9aa,297,EU-CENTRAL,v3.0,8d5c7c61,MSG219539983
DOGEUSDT_00001320,2026-01-01 17:38:27.918601,0.1251,0.179012,BUY,wallet_DOG0001,,BINANCE,MARKET,0.001116,SETTLED,VC471,da5f43de345e,229,EU-CENTRAL,v3.0,de5a4c8f,MSG827932102
DOGEUSDT_00000530,2026-01-01 19:40:08.123524,0.125751,0.334726,BUY,wallet_DOG0041,,BINANCE,MARKET,0.000605,SETTLED,VC951,2ca2271fe3f6,52,APAC-SOUTH,v2.3,05e11c5c,MSG387410091
DOGEUSDT_00000428,2026-01-01 20:48:42.004300,0.126046,0.097438,BUY,wallet_DOG0095,,BINANCE,MARKET,0.00142,SETTLED,VC141,1537ecbf8160,186,US-EAST,v2.3,b8101d5e,MSG332332342
DOGEUSDT_00001221,2026-01-01 21:18:45.437676,0.126052,0.083754,SELL,wallet_DOG0023,,BINANCE,LIMIT,0.001006,SETTLED,VC424,763b3b65b199,460,APAC-NORTH,v2.2,d158a350,MSG791370035
DOGEUSDT_00000890,2026-01-01 21:36:02.257543,0.125889,0.259216,SELL,wallet_DOG0081,,BINANCE,LIMIT,0.000782,SETTLED,VC246,e7f97f43bcfe,315,US-WEST,v2.3,e3953ed4,MSG107580118
DOGEUSDT_00001891,2026-01-01 23:02:45.836633,0.1267,0.347278,BUY,wallet_DOG0049,,BINANCE,MARKET,0.001086,SETTLED,VC504,37802b061842,332,APAC-NORTH,v2.2,3c520cd4,MSG452427520
DOGEUSDT_00001940,2026-01-02 03:01:21.110528,0.126669,0.467365,SELL,wallet_DOG0046,,BINANCE,MARKET,0.001448,SETTLED,VC389,e6576ca6fec9,291,US-EAST,v2.3,af451707,MSG844905572
DOGEUSDT_00001107,2026-01-02 03:06:19.798121,0.126746,0.811751,BUY,wallet_DOG0039,,BINANCE,MARKET,0.000969,SETTLED,VC879,574689aabc69,252,US-EAST,v2.3,319edb5d,MSG532471538
