trade_id,timestamp,price,quantity,side,trader_id,manager_id,exchange,order_type,fee_rate,settlement_status,venue_code,session_id,latency_ms,region_code,api_version,ip_hash,raw_msg_id
ETHUSDT_00003212,2026-01-01 01:31:37.677025,2983.414583,0.105176,BUY,wallet_ETH0039,,BINANCE,MARKET,0.001317,SETTLED,VC773,003401319db4,248,APAC-SOUTH,v2.3,f0caedf3,MSG264470129
ETHUSDT_00000451,2026-01-01 02:19:05.351494,2986.630019,0.02547,SELL,wallet_ETH0075,,BINANCE,MARKET,0.000805,SETTLED,VC810,2f5cc1cfffbe,66,US-WEST,v2.1,948f7577,MSG627445702
ETHUSDT_00002219,2026-01-01 07:05:56.638989,2978.111048,1.736463,BUY,wallet_ETH0080,,BINANCE,MARKET,0.001437,SETTLED,VC306,ebd0aa7e75a6,162,US-WEST,v2.2,f7efa914,MSG180582944
ETHUSDT_00001303,2026-01-01 08:03:01.388277,2978.899814,0.601822,SELL,wallet_ETH0098,,BINANCE,MARKET,0.001066,SETTLED,VC992,48bce3cad33c,210,US-EAST,v2.3,a6f2ee45,MSG598491081
ETHUSDT_00002669,2026-01-01 11:09:02.925958,2986.039324,0.213789,SELL,wallet_ETH0098,,BINANCE,MARKET,0.001332,SETTLED,VC976,1739f1e54de2,354,US-WEST,v2.2,98a00936,MSG670028373
ETHUSDT_00002610,2026-01-01 16:10:13.855126,2987.478113,0.162905,BUY,wallet_ETH0002,,BINANCE,MARKET,0.000776,SETTLED,VC328,7f93229a03bd,178,US-WEST,v2.3,a57b6ebb,MSG777223212
ETHUSDT_00000872,2026-01-01 17:14:33.309229,2985.172869,0.173583,SELL,wallet_ETH0157,,BINANCE,MARKET,0.000554,SETTLED,VC385,addb49292dc8,173,APAC-SOUTH,v2.3,d29da590,MSG963624406
ETHUSDT_00001517,2026-01-01 17:56:36.482889,2991.09259,1.085821,SELL,wallet_ETH0019,,BINANCE,MARKET,0.001006,SETTLED,VC139,82dde4a4068e,466,US-EAST,v2.2,fe0f3c6b,MSG932930127
ETHUSDT_00001605,2026-01-01 20:03:47.334589,2993.980296,0.195054,BUY,wallet_ETH0092,,BINANCE,MARKET,0.000723,SETTLED,VC840,9b52f3c89c19,9,US-WEST,v2.3,cc2dab11,MSG360018042
ETHUSDT_00003520,2026-01-01 20:36:23.611601,2990.474893,0.119108,BUY,wallet_ETH0113,,BINANCE,LIMIT,0.000526,SETTLED,VC921,69a47ac4559e,418,APAC-SOUTH,v2.3,5d5596da,MSG228274742
ETHUSDT_00002473,2026-01-01 22:37:10.214762,2989.138959,0.085469,BUY,wallet_ETH0122,,BINANCE,LIMIT,0.000521,SETTLED,VC644,9c94a6e094bf,478,US-WEST,v2.3,d9d9c351,MSG178588877
ETHUSDT_00001709,2026-01-01 22:43:14.520901,2991.754037,0.386504,BUY,wallet_ETH0033,,BINANCE,MARKET,0.001198,SETTLED,VC552,fdb651019950,14,APAC-NORTH,v2.2,765abd8b,MSG260324082
ETHUSDT_00000025,2026-01-02 00:01:45.198766,3005.940024,0.534249,SELL,wallet_ETH0008,,BINANCE,MARKET,0.000934,SETTLED,VC539,40ca38c9d75d,237,APAC-NORTH,v2.2,dba73ab4,MSG601042714
ETHUSDT_00003032,2026-01-02 00:07:11.361717,2999.798056,0.784846,BUY,wallet_ETH0002,,BINANCE,MARKET,0.000799,SETTLED,VC724,416a3605a352,181,US-WEST,v2.3,ac227dbd,MSG254362132
ETHUSDT_00003024,2026-01-02 00:46:14.548334,3002.196408,0.337578,SELL,wallet_ETH0144,,BINANCE,STOP_LIMIT,0.001193,SETTLED,VC493,f45eed196efc,270,APAC-NORTH,v3.0,75000c68,MSG256232678
ETHUSDT_00001546,2026-01-02 02:01:45.726082,3002.714449,0.50942,SELL,wallet_ETH0150,,BINANCE,MARKET,0.000765,SETTLED,VC766,16614443d98e,259,EU-CENTRAL,v3.0,7b9c5dc6,MSG672901004
ETHUSDT_00000483,2026-01-02 02:09:16.006184,2997.128471,0.106332,SELL,wallet_ETH0052,,BINANCE,MARKET,0.001037,SETTLED,VC382,94505e410d32,340,US-EAST,v3.0,f958403b,MSG947155748
ETHUSDT_00003696,2026-01-02 02:12:25.810771,2997.833428,0.428516,SELL,wallet_ETH0110,,BINANCE,STOP_LIMIT,0.00148,SETTLED,VC314,46c55232ba87,275,US-WEST,v2.2,4b885282,MSG207041631
ETHUSDT_00002507,2026-01-02 03:03:53.905153,3002.108896,0.12899,SELL,wallet_ETH0109,,BINANCE,MARKET,0.000681,SETTLED,VC368,34f3085bcb9f,250,APAC-NORTH,v3.0,70522a72,MSG934085479
ETHUSDT_00003060,2026-01-02 03:44:29.274366,3024.839311,0.530709,SELL,wallet_ETH0102,,BINANCE,MARKET,0.00106,SETTLED,VC313,9a8eeb1c4e41,212,APAC-NORTH,v2.2,04aa8b1c,MSG497407529
ETHUSDT_00000200,2026-01-02 03:47:09.038391,3027.940737,0.068868,SELL,wallet_ETH0110,,BINANCE,MARKET,0.001139,SETTLED,VC981,9e15215e29fa,398,APAC-SOUTH,v3.0,44aae0d2,MSG694395339
ETHUSDT_00002567,2026-01-02 04:01:28.572955,3024.1995,0.45504,BUY,wallet_ETH0029,,BINANCE,LIMIT,0.001187,SETTLED,VC954,7f4ed7c397a6,442,APAC-NORTH,v2.3,9f8823df,MSG649869667
ETHUSDT_00000906,2026-01-02 04:11:19.860089,3021.696423,0.039801,BUY,wallet_ETH0002,,BINANCE,MARKET,0.001413,SETTLED,VC769,fd65b1d0a534,398,US-EAST,v2.2,6eaf11a0,MSG585119816
ETHUSDT_00001638,2026-01-02 05:20:55.709286,3016.391348,0.132707,SELL,wallet_ETH0061,,BINANCE,LIMIT,0.000631,SETTLED,VC929,1b1b127e4629,272,US-WEST,v2.3,7f199df2,MSG245688522
ETHUSDT_00003468,2026-01-02 08:23:00.235298,3026.6403,0.096686,SELL,wallet_ETH0117,,BINANCE,LIMIT,0.000898,SETTLED,VC338,84ebade7d027,415,APAC-SOUTH,v2.2,1f925d45,MSG458710250
