trade_id,timestamp,price,quantity,side,trader_id,manager_id,exchange,order_type,fee_rate,settlement_status,venue_code,session_id,latency_ms,region_code,api_version,ip_hash,raw_msg_id
SOLUSDT_00001272,2026-01-01 03:12:26.363605,125.203249,0.171159,BUY,wallet_SOL0064,,BINANCE,MARKET,0.000725,SETTLED,VC540,92ee25f11d31,175,US-WEST,v2.3,764dbda5,MSG137863239
SOLUSDT_00002267,2026-01-01 03:38:07.651687,125.302862,0.424502,SELL,wallet_SOL0079,,BINANCE,MARKET,0.001392,SETTLED,VC585,c8135e87e854,147,US-WEST,v3.0,0e296227,MSG616045943
SOLUSDT_00001055,2026-01-01 04:09:56.160255,125.070555,0.033204,BUY,wallet_SOL0074,,BINANCE,MARKET,0.00147,SETTLED,VC497,f1276a87a735,81,APAC-SOUTH,v2.2,fb1bf99c,MSG955451311
SOLUSDT_00002426,2026-01-01 07:39:38.751412,124.62812,0.463494,SELL,wallet_SOL0084,,BINANCE,LIMIT,0.001114,SETTLED,VC915,c1da38d6c52c,153,APAC-NORTH,v2.3,d2d6edd3,MSG646490655
SOLUSDT_00000968,2026-01-01 10:03:24.142230,125.161564,0.025168,SELL,wallet_SOL0109,,BINANCE,MARKET,0.001051,SETTLED,VC682,308ab0bc28c2,401,US-WEST,v2.3,824eb802,MSG414854080
SOLUSDT_00001295,2026-01-01 12:02:13.777832,125.216782,0.144961,BUY,wallet_SOL0043,,BINANCE,LIMIT,0.001413,SETTLED,VC520,fba493d281aa,473,US-EAST,v3.0,87a6a015,MSG401702923
SOLUSDT_00000461,2026-01-01 17:08:21.415218,124.530589,0.50736,BUY,wallet_SOL0007,,BINANCE,MARKET,0.000917,SETTLED,VC643,93d6172d2592,479,EU-CENTRAL,v2.2,b9242799,MSG769502299
SOLUSDT_00001333,2026-01-01 17:56:11.228478,125.080781,0.205726,BUY,wallet_SOL0054,,BINANCE,MARKET,0.001446,SETTLED,VC642,4ade79b39a42,387,US-EAST,v2.2,635bd4c8,MSG134980826
SOLUSDT_00000342,2026-01-01 18:23:29.209475,125.333236,0.242175,SELL,wallet_SOL0054,,BINANCE,MARKET,0.00078,SETTLED,VC142,3c4ffad0c9d3,224,APAC-SOUTH,v2.3,2941d75f,MSG849685323
SOLUSDT_00000012,2026-01-01 18:24:28.082239,125.336423,0.100575,SELL,wallet_SOL0026,,BINANCE,LIMIT,0.001412,SETTLED,VC401,4c43e8a9f750,298,APAC-NORTH,v3.0,df26d2f7,MSG487605644
SOLUSDT_00000663,2026-01-01 20:15:33.419772,125.694608,3.833696,SELL,wallet_SOL0015,,BINANCE,MARKET,0.001398,SETTLED,VC221,c8b419c4bbd9,151,US-EAST,v2.2,57bb78dd,MSG989301965
SOLUSDT_00001826,2026-01-01 20:56:27.757479,125.439875,0.752888,BUY,wallet_SOL0091,,BINANCE,LIMIT,0.000591,SETTLED,VC435,ff0eae79f2a4,96,EU-CENTRAL,v2.3,79fad874,MSG732892590
SOLUSDT_00001779,2026-01-01 23:01:04.834768,126.226477,0.077832,SELL,wallet_SOL0079,,BINANCE,MARKET,0.000967,SETTLED,VC141,ecc255047643,377,US-WEST,v2.3,4d1c5590,MSG509534190
SOLUSDT_00001126,2026-01-01 23:42:52.264711,127.063224,0.050001,SELL,wallet_SOL0072,,BINANCE,MARKET,0.000814,SETTLED,VC301,8809a839114a,322,US-EAST,v2.2,d4f46e12,MSG248649291
SOLUSDT_00001679,2026-01-01 23:52:12.738012,126.88919,0.245831,BUY,wallet_SOL0009,,BINANCE,MARKET,0.001151,SETTLED,VC597,4b2a70aada0d,377,APAC-NORTH,v2.1,5fb4f791,MSG787394730
SOLUSDT_00000110,2026-01-02 00:20:07.569670,126.694029,0.01415,BUY,wallet_SOL0104,,BINANCE,MARKET,0.001216,SETTLED,VC195,d49a83353425,375,APAC-NORTH,v2.1,cd52c479,MSG596728561
SOLUSDT_00001497,2026-01-02 02:51:16.970070,126.652276,0.050938,SELL,wallet_SOL0008,,BINANCE,MARKET,0.000982,SETTLED,VC523,f333c415e0e1,241,APAC-SOUTH,v2.3,6e086883,MSG699104530
SOLUSDT_00001352,2026-01-02 03:33:19.612364,127.251585,0.150379,BUY,wallet_SOL0064,,BINANCE,STOP_LIMIT,0.000832,SETTLED,VC296,b257ce6869d1,468,US-EAST,v2.1,9b06b1af,MSG966645445
SOLUSDT_00000617,2026-01-02 03:42:06.810958,127.809881,0.220466,SELL,wallet_SOL0074,,BINANCE,MARKET,0.00128,SETTLED,VC518,f4521f2b2a7a,270,APAC-NORTH,v2.2,2515eeff,MSG966700640
SOLUSDT_00002055,2026-01-02 03:43:23.738976,127.661167,0.346516,SELL,wallet_SOL0051,,BINANCE,MARKET,0.000561,SETTLED,VC225,bdada126e729,43,APAC-NORTH,v2.3,a57fcbd5,MSG328968982
SOLUSDT_00000658,2026-01-02 04:17:09.452288,127.352041,0.544793,BUY,wallet_SOL0018,,BINANCE,MARKET,0.000586,SETTLED,VC260,009228bbb722,69,US-EAST,v2.3,008fa460,MSG200312985
SOLUSDT_00000255,2026-01-02 04:18:59.091686,127.348423,0.537294,BUY,wallet_SOL0008,,BINANCE,LIMIT,0.000996,SETTLED,VC936,25772464a02f,188,EU-CENTRAL,v2.3,a21f4171,MSG589500853
SOLUSDT_00000670,2026-01-02 04:48:11.917553,127.064279,0.111258,BUY,wallet_SOL0092,,BINANCE,MARKET,0.000684,SETTLED,VC376,2e4db792a813,230,APAC-SOUTH,v2.3,f88812c7,MSG603105256
SOLUSDT_00000154,2026-01-02 08:25:37.263639,127.656529,0.034955,BUY,wallet_SOL0039,,BINANCE,STOP_LIMIT,0.000981,SETTLED,VC832,74ab05e6b3e8,35,US-EAST,v3.0,e21090dc,MSG909006329
SOLUSDT_00000425,2026-01-02 10:10:23.800351,129.564163,0.149149,SELL,wallet_SOL0057,,BINANCE,LIMIT,0.001091,SETTLED,VC352,8ce0eb787e61,243,US-EAST,v2.1,1ef50c38,MSG526534956
SOLUSDT_00001839,2026-01-02 12:00:44.305735,128.172408,0.099032,SELL,wallet_SOL0006,,BINANCE,STOP_LIMIT,0.000784,SETTLED,VC810,712084fb1de1,188,APAC-NORTH,v2.3,3c99a621,MSG852592639
SOLUSDT_00000215,2026-01-02 13:26:28.204781,128.515148,0.140315,SELL,wallet_SOL0113,,BINANCE,MARKET,0.000987,SETTLED,VC302,3a543ccb166e,139,US-EAST,v2.3,00e34a2d,MSG662660063
SOLUSDT_00001806,2026-01-02 14:18:20.891868,127.54291,0.252841,BUY,wallet_SOL0095,,BINANCE,LIMIT,0.001446,SETTLED,VC470,04164a41c7d6,472,US-EAST,v2.2,dbea1b6f,MSG474855054
SOLUSDT_00000025,2026-01-02 14:19:49.391272,127.317369,0.384283,SELL,wallet_SOL0018,,BINANCE,MARKET,0.001253,SETTLED,VC756,44d583958408,420,US-EAST,v2.2,0192c4d8,MSG114585395
SOLUSDT_00000964,2026-01-02 14:24:23.044347,127.347343,0.264874,SELL,wallet_SOL0007,,BINANCE,MARKET,0.000854,SETTLED,VC683,e75fcbe1898c,86,APAC-NORTH,v2.2,ea902adb,MSG140640458
SOLUSDT_00000653,2026-01-02 14:32:28.149663,127.221016,0.341459,SELL,wallet_SOL0023,,BINANCE,LIMIT,0.00135,SETTLED,VC630,bf5bb7f9b3d2,96,APAC-NORTH,v2.3,70a48dcb,MSG287620994
SOLUSDT_00000141,2026-01-02 14:36:12.531725,127.173342,0.039555,SELL,wallet_SOL0051,,BINANCE,MARKET,0.000971,SETTLED,VC421,86bbc30d4b58,391,US-EAST,v2.3,e1a6c54f,MSG235695255
SOLUSDT_00001824,2026-01-02 14:57:02.381782,128.698543,0.633695,BUY,wallet_SOL0026,,BINANCE,MARKET,0.000956,SETTLED,VC451,356b7cb5b807,184,APAC-SOUTH,v3.0,9c021a50,MSG149367397
SOLUSDT_00001983,2026-01-02 15:33:24.931343,128.720225,0.198684,BUY,wallet_SOL0021,,BINANCE,MARKET,0.000976,SETTLED,VC226,b210ad12f697,363,APAC-NORTH,v2.3,3981c6c5,MSG133372192
SOLUSDT_00000648,2026-01-02 15:57:54.836967,128.822805,0.246597,BUY,wallet_SOL0088,,BINANCE,MARKET,0.000905,SETTLED,VC572,7dfd7586178f,211,APAC-NORTH,v2.2,ef333a3f,MSG972548515
SOLUSDT_00001343,2026-01-02 15:59:37.118676,128.809392,0.07075,BUY,wallet_SOL0029,,BINANCE,MARKET,0.001348,SETTLED,VC832,674a7aa0a76f,247,APAC-NORTH,v2.3,b2e8ad44,MSG267382864
SOLUSDT_00001030,2026-01-02 16:15:59.590375,130.556299,0.226474,BUY,wallet_SOL0118,,BINANCE,STOP_LIMIT,0.000988,SETTLED,VC154,a7eaf668aac5,258,APAC-SOUTH,v2.1,b947508a,MSG478456674
SOLUSDT_00001780,2026-01-02 16:42:13.958523,130.934582,0.152644,SELL,wallet_SOL0010,,BINANCE,MARKET,0.00113,SETTLED,VC881,613bb5bdd8e1,205,EU-CENTRAL,v2.2,9d7bdb88,MSG987802645
SOLUSDT_00000294,2026-01-02 16:49:14.975549,130.876014,0.208069,BUY,wallet_SOL0073,,BINANCE,LIMIT,0.001388,SETTLED,VC559,35b356a7e2f5,276,APAC-NORTH,v3.0,c10f0130,MSG792593738
SOLUSDT_00002106,2026-01-02 17:19:45.434059,131.929777,0.155427,SELL,wallet_SOL0087,,BINANCE,MARKET,0.000879,SETTLED,VC671,3c46c2c01268,1,US-WEST,v2.1,11720fb8,MSG952753580
SOLUSDT_00001496,2026-01-02 17:32:32.558499,131.245784,0.305785,BUY,wallet_SOL0046,,BINANCE,MARKET,0.000713,SETTLED,VC848,e65bb9d88b3c,474,APAC-NORTH,v3.0,8b863615,MSG184105363
SOLUSDT_00000231,2026-01-02 17:53:37.885503,131.12313,0.563931,BUY,wallet_SOL0042,,BINANCE,STOP_LIMIT,0.000825,SETTLED,VC135,35c049a60d1c,352,US-EAST,v2.2,865ae613,MSG207091338
SOLUSDT_00001562,2026-01-02 19:06:48.032614,130.754379,0.417105,BUY,wallet_SOL0070,,BINANCE,MARKET,0.001496,SETTLED,VC796,680b344db739,353,US-EAST,v2.2,a5036b95,MSG479237097
SOLUSDT_00001797,2026-01-02 19:13:05.437216,131.079825,0.414257,SELL,wallet_SOL0082,,BINANCE,LIMIT,0.001417,SETTLED,VC232,605b23c18cd0,302,APAC-NORTH,v2.3,3435aa51,MSG312490426
SOLUSDT_00000899,2026-01-02 21:48:32.900260,131.780019,0.872452,BUY,wallet_SOL0067,,BINANCE,MARKET,0.000635,SETTLED,VC732,9c5a50ff6751,400,EU-CENTRAL,v2.3,ab1bfac8,MSG962948761
SOLUSDT_00001887,2026-01-02 21:52:00.221096,131.819389,0.197752,SELL,wallet_SOL0019,,BINANCE,LIMIT,0.00082,SETTLED,VC110,b2f6b1085a3f,292,APAC-SOUTH,v2.2,032c0e8f,MSG405395959
SOLUSDT_00002112,2026-01-02 22:29:28.938828,132.557249,0.38506,SELL,wallet_SOL0006,,BINANCE,LIMIT,0.000643,SETTLED,VC423,2f1df3fa3df8,344,APAC-SOUTH,v3.0,0448f766,MSG447895886
SOLUSDT_00001641,2026-01-02 23:00:16.946989,132.622816,0.649433,SELL,wallet_SOL0045,,BINANCE,MARKET,0.001256,SETTLED,VC359,da2f7d062472,213,US-WEST,v2.3,5e4da9bc,MSG195915228
SOLUSDT_00001054,2026-01-03 00:20:40.041363,132.599885,0.027486,BUY,wallet_SOL0004,,BINANCE,MARKET,0.001437,SETTLED,VC380,51a0965384f3,467,US-EAST,v2.2,1913c365,MSG599548825
SOLUSDT_00000807,2026-01-03 02:25:20.105255,132.673301,0.130321,SELL,wallet_SOL0086,,BINANCE,LIMIT,0.001397,SETTLED,VC481,0674eac457bf,408,APAC-SOUTH,v2.2,dbc36c7f,MSG243485993
SOLUSDT_00002202,2026-01-03 03:07:31.326110,132.611256,0.046784,BUY,wallet_SOL0091,,BINANCE,STOP_LIMIT,0.001164,SETTLED,VC585,9a233fa93db5,30,US-WEST,v2.1,b7702665,MSG229135167
SOLUSDT_00000035,2026-01-03 03:23:07.528240,132.34116,0.20814,SELL,wallet_SOL0003,,BINANCE,LIMIT,0.000857,SETTLED,VC609,6b8041ede9c7,148,US-EAST,v3.0,b604b887,MSG559799270
SOLUSDT_00000888,2026-01-03 04:06:28.638476,132.727554,0.551319,SELL,wallet_SOL0079,,BINANCE,MARKET,0.001276,SETTLED,VC721,2a279b1f1036,366,US-WEST,v3.0,437b2dfd,MSG990470570
SOLUSDT_00000999,2026-01-03 05:02:58.939814,132.469005,0.994531,BUY,wallet_SOL0024,,BINANCE,MARKET,0.000889,SETTLED,VC164,80798aa1af12,435,US-EAST,v2.3,7bb8717c,MSG452926860
SOLUSDT_00001459,2026-01-03 08:38:43.401351,130.682087,0.467765,SELL,wallet_SOL0075,,BINANCE,MARKET,0.001329,SETTLED,VC758,75f70f043c66,442,US-WEST,v2.3,afe1082b,MSG332866691
SOLUSDT_00002351,2026-01-03 08:49:01.312779,130.889024,0.292502,BUY,wallet_SOL0068,,BINANCE,MARKET,0.001414,SETTLED,VC862,af4650114b39,400,APAC-NORTH,v2.2,060ec062,MSG286135998
SOLUSDT_00000013,2026-01-03 08:55:56.573558,130.776566,0.271025,SELL,wallet_SOL0100,,BINANCE,MARKET,0.000824,SETTLED,VC757,c39fa4b1db2b,332,APAC-NORTH,v2.3,105d9882,MSG319710426
SOLUSDT_00001696,2026-01-03 09:32:31.502770,130.906971,1.994338,SELL,wallet_SOL0100,,BINANCE,LIMIT,0.001008,SETTLED,VC530,133110bf0d83,368,US-EAST,v2.2,63d9a762,MSG293397447
SOLUSDT_00001610,2026-01-03 09:37:19.628938,131.267425,1.186248,BUY,wallet_SOL0015,,BINANCE,MARKET,0.00083,SETTLED,VC561,c5c4956626bf,226,US-WEST,v2.3,649c0182,MSG473371839
SOLUSDT_00002066,2026-01-03 15:08:47.849509,131.690425,0.279411,SELL,wallet_SOL0088,,BINANCE,MARKET,0.001029,SETTLED,VC623,1c81243b9d8a,82,APAC-SOUTH,v2.3,6670c56f,MSG103611586
