trade_id,timestamp,price,quantity,side,trader_id,manager_id,exchange,order_type,fee_rate,settlement_status,venue_code,session_id,latency_ms,region_code,api_version,ip_hash,raw_msg_id
LTCUSDT_00001168,2026-01-01 04:31:54.861007,76.846785,0.126145,BUY,wallet_LTC0042,,BINANCE,MARKET,0.000662,SETTLED,VC250,cfe3a472a577,460,APAC-NORTH,v2.2,48e7acb4,MSG883363624
LTCUSDT_00000755,2026-01-01 08:24:26.522863,77.465419,0.146114,BUY,wallet_LTC0080,,BINANCE,MARKET,0.000585,SETTLED,VC591,6d183a3f7f86,351,US-WEST,v3.0,693919e0,MSG106348893
LTCUSDT_00001420,2026-01-01 13:17:48.260136,77.856081,0.957887,BUY,wallet_LTC0023,,BINANCE,MARKET,0.001188,SETTLED,VC520,d13aafcd703d,47,APAC-NORTH,v2.2,37139d8a,MSG757347196
LTCUSDT_00000151,2026-01-01 13:48:03.264162,78.012492,0.44565,BUY,wallet_LTC0063,,BINANCE,LIMIT,0.000847,SETTLED,VC194,aaaeff53b015,1,APAC-NORTH,v2.3,17360c51,MSG775670741
LTCUSDT_00001123,2026-01-01 14:02:37.552230,78.011789,0.056185,SELL,wallet_LTC0031,,BINANCE,MARKET,0.000698,SETTLED,VC909,3bf8badb175b,27,APAC-NORTH,v2.3,ff145742,MSG737831781
LTCUSDT_00000355,2026-01-01 15:43:44.099705,78.813152,0.698012,BUY,wallet_LTC0059,,BINANCE,MARKET,0.000892,SETTLED,VC780,e0512f942e28,311,US-EAST,v2.3,da53f29d,MSG588826426
LTCUSDT_00000586,2026-01-01 15:46:33.171421,78.922836,0.219437,BUY,wallet_LTC0069,,BINANCE,MARKET,0.001342,SETTLED,VC918,5bcf5faccec4,404,US-EAST,v2.2,f35e1a07,MSG183707334
LTCUSDT_00000982,2026-01-01 16:03:30.706938,78.843529,0.044982,SELL,wallet_LTC0005,,BINANCE,STOP_LIMIT,0.000794,SETTLED,VC458,59b3dd1623b2,185,APAC-NORTH,v3.0,51a6dc46,MSG466846877
LTCUSDT_00000616,2026-01-01 16:04:12.592417,78.856334,0.552998,BUY,wallet_LTC0049,,BINANCE,MARKET,0.00143,SETTLED,VC322,2b05495fb085,253,US-EAST,v2.3,6c3a1863,MSG777800977
LTCUSDT_00001450,2026-01-01 17:23:27.314940,79.020158,0.054913,BUY,wallet_LTC0062,,BINANCE,MARKET,0.000661,SETTLED,VC483,2d6d3fdba80b,251,US-WEST,v2.3,3f5ef5c0,MSG771269771
LTCUSDT_00001165,2026-01-01 20:26:16.073890,79.511879,0.102904,SELL,wallet_LTC0019,,BINANCE,MARKET,0.001315,SETTLED,VC866,0a04211a1bd5,297,EU-CENTRAL,v2.2,fca1ad06,MSG804725927
LTCUSDT_00000202,2026-01-01 20:46:28.229284,79.561013,0.096423,BUY,wallet_LTC0013,,BINANCE,MARKET,0.000946,SETTLED,VC855,17e0fc64568d,338,US-WEST,v3.0,d91c9808,MSG942072382
LTCUSDT_00000487,2026-01-01 21:42:53.792989,79.366365,0.323265,BUY,wallet_LTC0007,,BINANCE,LIMIT,0.000893,SETTLED,VC687,fd5c74852695,361,APAC-SOUTH,v2.2,b5b14806,MSG300073435
LTCUSDT_00000633,2026-01-02 02:46:33.920588,79.394919,0.189321,BUY,wallet_LTC0019,,BINANCE,MARKET,0.000607,SETTLED,VC507,558e55012dd4,311,US-EAST,v2.3,764e04fc,MSG957388296
LTCUSDT_00000440,2026-01-02 03:07:47.885890,79.65305,0.086901,SELL,wallet_LTC0061,,BINANCE,MARKET,0.000676,SETTLED,VC561,7f061377395a,101,US-WEST,v2.2,09814ab6,MSG676824569
LTCUSDT_00001479,2026-01-02 06:49:58.611751,79.623933,0.429235,BUY,wallet_LTC0035,,BINANCE,LIMIT,0.001473,SETTLED,VC935,f0cf7a2d5d35,381,US-WEST,v2.2,392001b7,MSG729472358
LTCUSDT_00001451,2026-01-02 10:06:13.954995,80.290517,0.431149,SELL,wallet_LTC0069,,BINANCE,MARKET,0.000557,SETTLED,VC671,b087d6bc819f,214,US-WEST,v2.2,29d8a2b9,MSG789547896
LTCUSDT_00001009,2026-01-02 10:48:15.299387,79.887382,0.172689,BUY,wallet_LTC0074,,BINANCE,STOP_LIMIT,0.000667,SETTLED,VC814,71485f1662f1,398,APAC-NORTH,v2.2,57a258e1,MSG924734532
LTCUSDT_00001222,2026-01-02 11:45:49.287703,79.549898,0.275186,BUY,wallet_LTC0009,,BINANCE,MARKET,0.000761,SETTLED,VC210,fece1ad97515,254,APAC-SOUTH,v2.2,ec75a410,MSG491564101
LTCUSDT_00001293,2026-01-02 13:04:40.213901,79.951237,1.010952,SELL,wallet_LTC0070,,BINANCE,STOP_LIMIT,0.001237,SETTLED,VC913,da26491c114d,95,EU-CENTRAL,v3.0,0b832df9,MSG842321655
LTCUSDT_00000621,2026-01-02 14:30:06.133192,80.131284,0.256254,BUY,wallet_LTC0074,,BINANCE,MARKET,0.001137,SETTLED,VC583,1dd9a61d2cb7,280,APAC-SOUTH,v2.3,39b5f977,MSG230268256
LTCUSDT_00000148,2026-01-02 14:48:03.626522,80.880148,0.176785,SELL,wallet_LTC0053,,BINANCE,MARKET,0.001497,SETTLED,VC935,53ef9678b855,256,US-EAST,v2.3,907e51f0,MSG821365463
LTCUSDT_00000524,2026-01-02 16:01:43.461168,80.554106,0.056322,SELL,wallet_LTC0075,,BINANCE,LIMIT,0.000863,SETTLED,VC213,769ac7f3a10b,288,APAC-NORTH,v2.2,a72bc5cc,MSG839870269
LTCUSDT_00001434,2026-01-02 16:43:51.576292,81.004233,0.647256,BUY,wallet_LTC0011,,BINANCE,MARKET,0.000967,SETTLED,VC680,3c124c93bce9,416,US-EAST,v2.3,bc1926f9,MSG745584553
LTCUSDT_00001046,2026-01-02 16:45:19.172141,80.862453,0.096652,SELL,wallet_LTC0028,,BINANCE,MARKET,0.000994,SETTLED,VC371,50891426eb93,133,APAC-NORTH,v2.1,a82bae55,MSG501856990
LTCUSDT_00000970,2026-01-02 16:52:28.730187,81.021113,0.434345,SELL,wallet_LTC0049,,BINANCE,LIMIT,0.000565,SETTLED,VC648,8234958d0daa,284,EU-CENTRAL,v2.3,03e273d1,MSG995500136
LTCUSDT_00000635,2026-01-02 17:45:27.739193,81.090567,0.035659,BUY,wallet_LTC0026,,BINANCE,LIMIT,0.000722,SETTLED,VC244,3934c74aec78,259,EU-CENTRAL,v2.2,e5da80e9,MSG696709963
