trade_id,timestamp,price,quantity,side,trader_id,manager_id,exchange,order_type,fee_rate,settlement_status,venue_code,session_id,latency_ms,region_code,api_version,ip_hash,raw_msg_id
USDCUSDT_00000385,2026-01-01 03:26:52.062612,1.001244,0.129535,BUY,wallet_USD0027,,BINANCE,MARKET,0.001379,SETTLED,VC836,d0f867951f6b,15,US-EAST,v2.3,a5bb8059,MSG309947489
USDCUSDT_00000393,2026-01-01 05:59:31.772006,1.001229,0.150904,BUY,wallet_USD0008,,BINANCE,MARKET,0.000661,SETTLED,VC426,b9302c247619,175,APAC-SOUTH,v2.3,dd958a50,MSG365289704
USDCUSDT_00000620,2026-01-01 06:59:00.167963,1.001233,0.270043,SELL,wallet_USD0030,,BINANCE,MARKET,0.000714,SETTLED,VC517,187d1e3662c6,278,APAC-SOUTH,v2.3,47d87c7c,MSG470768516
USDCUSDT_00000276,2026-01-01 08:19:49.864895,1.001241,0.664875,SELL,wallet_USD0049,,BINANCE,LIMIT,0.000754,SETTLED,VC486,8a998d14ca48,144,EU-CENTRAL,v3.0,5f50b5e7,MSG779197420
USDCUSDT_00000699,2026-01-01 11:17:17.024306,1.00122,0.307025,SELL,wallet_USD0033,,BINANCE,LIMIT,0.001192,SETTLED,VC514,434428ee58e5,459,EU-CENTRAL,v2.3,62026ea5,MSG190666770
USDCUSDT_00000777,2026-01-01 11:51:24.341279,1.001312,0.425861,SELL,wallet_USD0006,,BINANCE,LIMIT,0.000733,SETTLED,VC892,184cdbb1ea88,25,APAC-SOUTH,v3.0,7b1053ac,MSG423404324
USDCUSDT_00000388,2026-01-01 12:47:38.109184,1.001248,0.744239,SELL,wallet_USD0048,,BINANCE,MARKET,0.001338,SETTLED,VC473,54ac0d317b42,234,APAC-NORTH,v2.3,6cb33272,MSG126572323
USDCUSDT_00000862,2026-01-01 14:42:39.797947,1.001037,0.884375,SELL,wallet_USD0037,,BINANCE,MARKET,0.001316,SETTLED,VC601,8a7302511ff0,80,APAC-SOUTH,v2.3,a0a3a452,MSG444068625
USDCUSDT_00000124,2026-01-01 15:22:49.100042,1.001037,0.049156,SELL,wallet_USD0034,,BINANCE,LIMIT,0.000811,SETTLED,VC111,e9cbcbe6aef8,145,US-EAST,v2.3,2b62f873,MSG981183944
USDCUSDT_00000136,2026-01-01 17:21:42.299703,1.001068,0.13104,SELL,wallet_USD0028,,BINANCE,MARKET,0.000632,SETTLED,VC979,2f81e48eca36,89,APAC-SOUTH,v2.2,d62a4d72,MSG472594865
USDCUSDT_00000112,2026-01-01 19:49:06.562473,1.00109,0.154828,BUY,wallet_USD0027,,BINANCE,MARKET,0.000849,SETTLED,VC847,361d3a226611,257,APAC-SOUTH,v2.3,7b190b93,MSG790412377
USDCUSDT_00000411,2026-01-01 22:29:00.802073,1.001034,0.111819,SELL,wallet_USD0043,,BINANCE,LIMIT,0.001131,SETTLED,VC127,69ee35429294,329,APAC-SOUTH,v2.2,ac5f7fc8,MSG608483661
USDCUSDT_00000010,2026-01-02 02:26:14.259916,1.000946,0.063021,SELL,wallet_USD0045,,BINANCE,MARKET,0.000909,SETTLED,VC601,ce0cc2dff828,192,APAC-NORTH,v2.2,9cd8d736,MSG387912681
USDCUSDT_00000494,2026-01-02 04:34:39.878322,1.000942,0.097832,BUY,wallet_USD0050,,BINANCE,MARKET,0.000723,SETTLED,VC698,a3fed222a107,471,APAC-NORTH,v3.0,5e6f9d01,MSG469140253
USDCUSDT_00000133,2026-01-02 06:42:33.603277,1.000911,0.404688,BUY,wallet_USD0031,,BINANCE,MARKET,0.001442,SETTLED,VC111,78a4f950c90a,290,US-EAST,v2.3,649abdaf,MSG298074344
USDCUSDT_00000599,2026-01-02 09:53:56.535026,1.000991,0.521265,SELL,wallet_USD0002,,BINANCE,LIMIT,0.000758,SETTLED,VC298,67d9a844f8fc,404,US-WEST,v3.0,8a71c46c,MSG572760048
USDCUSDT_00000353,2026-01-02 12:03:09.130602,1.000854,0.242091,SELL,wallet_USD0024,,BINANCE,LIMIT,0.000726,SETTLED,VC264,79653069afe1,408,APAC-NORTH,v3.0,1bf29715,MSG718809082
USDCUSDT_00000351,2026-01-02 12:05:16.352792,1.000855,0.385462,BUY,wallet_USD0021,,BINANCE,MARKET,0.000906,SETTLED,VC620,12b710eca304,12,EU-CENTRAL,v2.2,6a976468,MSG882411819
USDCUSDT_00000766,2026-01-02 14:22:28.720823,1.000644,0.270976,BUY,wallet_USD0003,,BINANCE,MARKET,0.001387,SETTLED,VC549,6713eb146cf9,393,US-WEST,v2.3,3967ecc3,MSG405576791
USDCUSDT_00000399,2026-01-02 15:20:40.335547,1.00048,0.510797,SELL,wallet_USD0010,,BINANCE,MARKET,0.001074,SETTLED,VC703,7f70dc51b281,350,APAC-SOUTH,v2.3,f7efc1d3,MSG710604062
USDCUSDT_00000358,2026-01-02 16:21:15.139188,1.000475,0.099336,SELL,wallet_USD0024,,BINANCE,STOP_LIMIT,0.001175,SETTLED,VC165,c91c84539dbe,323,EU-CENTRAL,v2.2,4c1a0e57,MSG700799022
USDCUSDT_00000953,2026-01-02 16:31:30.666794,1.000412,0.259764,BUY,wallet_USD0043,,BINANCE,MARKET,0.001378,SETTLED,VC369,6f23f046789c,422,APAC-NORTH,v2.2,0b76808f,MSG701855509
USDCUSDT_00000575,2026-01-02 16:35:02.149298,1.00037,0.597739,SELL,wallet_USD0023,,BINANCE,MARKET,0.00091,SETTLED,VC473,7c375d7496b8,330,APAC-NORTH,v2.2,b2344f1d,MSG628862101
USDCUSDT_00000315,2026-01-02 16:49:56.801730,1.000334,0.252864,SELL,wallet_USD0004,,BINANCE,LIMIT,0.000908,SETTLED,VC538,482ce289bfcf,324,US-WEST,v3.0,541e3c07,MSG105410230
USDCUSDT_00000819,2026-01-02 18:24:40.178982,1.00026,0.166695,BUY,wallet_USD0025,,BINANCE,MARKET,0.000644,SETTLED,VC765,15d0a9720374,263,APAC-SOUTH,v2.3,91c20131,MSG506008346
USDCUSDT_00000222,2026-01-02 18:42:24.204392,1.00015,0.154246,SELL,wallet_USD0007,,BINANCE,MARKET,0.001232,SETTLED,VC844,179cb74a31b1,136,US-WEST,v2.2,32005f3d,MSG223262380
USDCUSDT_00000083,2026-01-03 01:04:15.373124,1.000267,0.225622,BUY,wallet_USD0008,,BINANCE,MARKET,0.001073,SETTLED,VC450,2d1d47dc6d6b,97,US-EAST,v2.2,11bb8f13,MSG623445590
USDCUSDT_00000107,2026-01-03 04:15:08.697360,1.000273,0.094608,SELL,wallet_USD0031,,BINANCE,MARKET,0.001194,SETTLED,VC194,8bb69efef9a4,183,US-EAST,v2.2,ece06481,MSG564770998
USDCUSDT_00000562,2026-01-03 05:20:04.468598,1.000252,0.32868,BUY,wallet_USD0029,,BINANCE,MARKET,0.00081,SETTLED,VC735,9d089b3f8709,136,EU-CENTRAL,v2.3,abaedf7c,MSG757567589
USDCUSDT_00000464,2026-01-03 13:59:36.748897,1.000353,0.151392,BUY,wallet_USD0011,,BINANCE,STOP_LIMIT,0.001371,SETTLED,VC455,4b214637df17,128,APAC-NORTH,v2.3,6cda9ca4,MSG844693756
USDCUSDT_00000742,2026-01-03 14:01:48.546932,1.000358,0.328978,BUY,wallet_USD0028,,BINANCE,MARKET,0.001438,SETTLED,VC257,3ad11d048a4c,351,APAC-NORTH,v3.0,d2cbecfc,MSG915549999
USDCUSDT_00000022,2026-01-03 18:24:11.618052,1.000361,0.757381,SELL,wallet_USD0014,,BINANCE,MARKET,0.001078,SETTLED,VC849,a2b627173895,434,US-WEST,v2.2,c1607435,MSG169425715
USDCUSDT_00000329,2026-01-03 18:28:27.257433,1.000316,0.239844,BUY,wallet_USD0014,,BINANCE,STOP_LIMIT,0.00086,SETTLED,VC728,eea6f94af1a4,100,APAC-NORTH,v3.0,12cad2e7,MSG877444903
USDCUSDT_00000865,2026-01-03 18:36:08.562160,1.000364,0.388015,SELL,wallet_USD0038,,BINANCE,MARKET,0.000562,SETTLED,VC139,8ddf4f44e6b0,428,US-EAST,v2.3,60657df5,MSG145386122
USDCUSDT_00000183,2026-01-03 21:50:50.399727,1.000322,0.031607,SELL,wallet_USD0048,,BINANCE,MARKET,0.000751,SETTLED,VC376,a2e6ac686219,409,APAC-NORTH,v2.1,5dd9efbf,MSG303598512
USDCUSDT_00000926,2026-01-04 00:23:04.777308,1.000274,0.46701,BUY,wallet_USD0022,,BINANCE,LIMIT,0.000834,SETTLED,VC919,d2293e99f419,258,APAC-NORTH,v2.2,7e41f0d1,MSG843861925
USDCUSDT_00000362,2026-01-04 00:38:08.300683,1.000246,0.252277,BUY,wallet_USD0047,,BINANCE,LIMIT,0.000925,SETTLED,VC248,87501dea757e,246,APAC-NORTH,v3.0,02026953,MSG124342482
USDCUSDT_00000712,2026-01-04 00:49:57.099501,1.000283,0.552956,BUY,wallet_USD0021,,BINANCE,STOP_LIMIT,0.00116,SETTLED,VC522,b040638b4e18,282,APAC-NORTH,v2.3,54f9683a,MSG867711215
USDCUSDT_00000225,2026-01-04 02:06:23.958401,1.000272,0.319949,SELL,wallet_USD0031,,BINANCE,STOP_LIMIT,0.001392,SETTLED,VC989,785b47ff0e61,196,APAC-NORTH,v2.2,fe58f8d5,MSG988752259
USDCUSDT_00000588,2026-01-04 02:41:48.887251,1.000204,0.287205,BUY,wallet_USD0014,,BINANCE,STOP_LIMIT,0.000873,SETTLED,VC734,f42fd4334b05,446,US-WEST,v2.2,100493db,MSG445444463
USDCUSDT_00000153,2026-01-04 04:34:45.372783,1.00024,0.054825,SELL,wallet_USD0025,,BINANCE,MARKET,0.001108,SETTLED,VC288,82680af899c2,378,US-WEST,v2.3,bf684b01,MSG483261521
USDCUSDT_00000096,2026-01-04 06:46:36.734739,1.000263,0.462973,SELL,wallet_USD0041,,BINANCE,MARKET,0.000607,SETTLED,VC788,a3fe79a5a9c0,426,EU-CENTRAL,v2.2,274bfedb,MSG108032447
USDCUSDT_00000127,2026-01-04 08:04:00.400856,1.000236,0.134394,SELL,wallet_USD0041,,BINANCE,MARKET,0.001406,SETTLED,VC612,e585e4295267,180,US-EAST,v2.3,25cec4bc,MSG358033743
USDCUSDT_00000997,2026-01-04 08:43:54.259177,1.000277,0.097511,BUY,wallet_USD0009,,BINANCE,MARKET,0.000601,SETTLED,VC898,57601c28cbe8,71,EU-CENTRAL,v2.2,6ff9c866,MSG370903426
USDCUSDT_00000165,2026-01-04 09:02:57.281414,1.000215,0.126096,BUY,wallet_USD0035,,BINANCE,MARKET,0.000777,SETTLED,VC840,96e7fb044801,276,APAC-SOUTH,v2.2,4cf1d018,MSG781532806
USDCUSDT_00000128,2026-01-04 10:03:47.900720,1.000249,0.203243,BUY,wallet_USD0006,,BINANCE,MARKET,0.001473,SETTLED,VC321,1f3088906550,5,US-EAST,v2.3,7a590a97,MSG625466905
USDCUSDT_00000009,2026-01-04 11:27:26.018089,1.000244,0.108182,BUY,wallet_USD0028,,BINANCE,MARKET,0.000705,SETTLED,VC225,277f75efb6b0,6,APAC-SOUTH,v2.1,2efdd9f1,MSG847486499
USDCUSDT_00000515,2026-01-04 13:28:32.157965,1.000223,0.51473,SELL,wallet_USD0029,,BINANCE,MARKET,0.000883,SETTLED,VC713,086d2194836f,128,APAC-SOUTH,v3.0,5ecc2067,MSG564170953
USDCUSDT_00000290,2026-01-04 14:02:37.134837,1.000235,0.215697,BUY,wallet_USD0010,,BINANCE,MARKET,0.001011,SETTLED,VC150,55af91896621,24,US-EAST,v3.0,a06cbe10,MSG228127761
