trade_id,timestamp,price,quantity,side,trader_id,manager_id,exchange,order_type,fee_rate,settlement_status,venue_code,session_id,latency_ms,region_code,api_version,ip_hash,raw_msg_id
XRPUSDT_00001079,2026-01-01 00:23:18.188263,1.843209,0.228849,SELL,wallet_XRP0110,,BINANCE,MARKET,0.001051,SETTLED,VC960,9d9a9ae45b36,409,EU-CENTRAL,v2.2,4e73e8bc,MSG106608714
XRPUSDT_00000391,2026-01-01 03:09:45.864600,1.839427,0.15031,SELL,wallet_XRP0042,,BINANCE,MARKET,0.001126,SETTLED,VC442,28f663f57dbb,189,APAC-NORTH,v3.0,ff5f0094,MSG551716931
XRPUSDT_00000236,2026-01-01 05:33:32.617601,1.853799,0.090024,BUY,wallet_XRP0025,,BINANCE,MARKET,0.001019,SETTLED,VC307,fa42241aa80c,475,EU-CENTRAL,v2.3,bb23e399,MSG348719537
XRPUSDT_00000058,2026-01-01 06:07:41.829179,1.846845,0.367161,BUY,wallet_XRP0087,,BINANCE,MARKET,0.00121,SETTLED,VC352,8bc6529a20ef,384,US-WEST,v2.3,e49c3b8f,MSG279645600
XRPUSDT_00000472,2026-01-01 14:48:33.766248,1.858107,0.605829,BUY,wallet_XRP0078,,BINANCE,MARKET,0.001306,SETTLED,VC570,76cc3fee1aa5,19,US-EAST,v3.0,48ccb3a9,MSG690750401
XRPUSDT_00000797,2026-01-01 15:57:36.834136,1.861686,1.955548,BUY,wallet_XRP0107,,BINANCE,MARKET,0.000708,SETTLED,VC810,9ca0c65e06e6,169,EU-CENTRAL,v2.2,93a74990,MSG604831182
XRPUSDT_00002175,2026-01-01 17:14:58.159287,1.868621,0.030208,SELL,wallet_XRP0059,,BINANCE,MARKET,0.000986,SETTLED,VC598,2fb69aa01f2f,313,APAC-NORTH,v2.2,f48b9678,MSG636317901
XRPUSDT_00001043,2026-01-01 17:52:30.508026,1.873324,0.569624,BUY,wallet_XRP0078,,BINANCE,MARKET,0.000812,SETTLED,VC499,d297f80a2319,30,EU-CENTRAL,v2.1,1f116135,MSG462724724
XRPUSDT_00002074,2026-01-01 20:04:22.594691,1.873303,0.188438,SELL,wallet_XRP0095,,BINANCE,MARKET,0.00087,SETTLED,VC854,3ad5367218da,37,US-WEST,v2.3,928aa60e,MSG578131363
XRPUSDT_00000087,2026-01-02 02:51:51.300340,1.876504,0.007327,SELL,wallet_XRP0114,,BINANCE,MARKET,0.000965,SETTLED,VC682,866865d5f345,139,US-WEST,v2.2,5878f06f,MSG215850027
XRPUSDT_00000248,2026-01-02 03:15:16.318730,1.883302,0.315641,SELL,wallet_XRP0106,,BINANCE,MARKET,0.001162,SETTLED,VC554,875e3cf4f10e,475,APAC-NORTH,v2.1,48d7700f,MSG342923081
